,0
92," Panama (PAN / 92)
center: [-80.11157027   8.5243484 ]"
93," Palau (PLW / 93)
center: [134.58047966   7.51295578]"
94," Pakistan (PAK / 94)
center: [69.33957937 29.9497515 ]"
95," Oman (OMN / 95)
center: [56.08535577 20.57538168]"
96," Norway (-99 / 96)
center: [13.9084218 64.2378254]"
97," Jan Mayen (-99 / 97)
center: [-8.42680551 71.02008472]"
98," Svalbard (SJM / 98)
center: [15.88458683 78.60164551]"
99," North Korea (PRK / 99)
center: [127.19333112  40.15372171]"
100," Nigeria (NGA / 100)
center: [8.08960293 9.59510497]"
101," Niger (NER / 101)
center: [ 9.38545882 17.41912493]"
102," Nicaragua (NIC / 102)
center: [-85.0305297   12.84709429]"
103," New Zealand (NZL / 103)
center: [170.52834778 -43.97341234]"
104," Niue (NIU / 104)
center: [-169.86994682  -19.04945708]"
105," Tokelau (TKL / 105)
center: [-172.48760153   -8.56500085]"
106," Cook Islands (COK / 106)
center: [-159.78724219  -21.21927288]"
107," Netherlands (NLD / 107)
center: [ 5.64213378 52.28215279]"
108," Aruba (ABW / 108)
center: [-69.98267711  12.52088038]"
109," Caribbean Netherlands (BES / 109)
center: [-68.27402059  12.18429165]"
110," Curaçao (CUW / 110)
center: [-68.97119369  12.19551675]"
111," Nepal (NPL / 111)
center: [83.9158264  28.24891365]"
112," Nauru (NRU / 112)
center: [166.93256823  -0.51912639]"
113," Namibia (NAM / 113)
center: [ 17.20963567 -22.13032568]"
114," Mozambique (MOZ / 114)
center: [ 35.53367543 -17.27381643]"
115," Morocco (MAR / 115)
center: [-8.45615795 29.83762955]"
116," Western Sahara (ESH / 116)
center: [-12.21982755  24.22956739]"
117," Montenegro (MNE / 117)
center: [19.23883939 42.78890259]"
118," Mongolia (MNG / 118)
center: [103.05299765  46.82681544]"
119," Moldova (MDA / 119)
center: [28.45673372 47.19498804]"
120," Monaco (MCO / 120)
center: [ 7.40627677 43.75274627]"
121," Mexico (MEX / 121)
center: [-102.50514419   23.94102022]"
122," Mauritius (MUS / 122)
center: [ 57.57120551 -20.27768704]"
123," Mauritania (MRT / 123)
center: [-10.34665958  20.25746461]"
124," Malta (MLT / 124)
center: [14.44326901 35.89002912]"
125," Mali (MLI / 125)
center: [-3.54269065 17.34581581]"
126," Maldives (MDV / 126)
center: [73.50333479  4.19653216]"
127," Malaysia (MYS / 127)
center: [114.72377226   3.61525237]"
128," Malawi (MWI / 128)
center: [ 34.28879833 -13.21986925]"
129," Madagascar (MDG / 129)
center: [ 46.70305379 -19.37532674]"
130," North Macedonia (MKD / 130)
center: [21.68211346 41.59530893]"
131," Luxembourg (LUX / 131)
center: [ 6.07182201 49.76725361]"
132," Lithuania (LTU / 132)
center: [23.89188896 55.32596034]"
133," Liechtenstein (LIE / 133)
center: [ 9.53574312 47.13665835]"
134," Libya (LBY / 134)
center: [18.00866169 27.03094495]"
135," Liberia (LBR / 135)
center: [-9.32207573  6.45278492]"
136," Lesotho (LSO / 136)
center: [ 28.22723131 -29.58003188]"
137," Lebanon (LBN / 137)
center: [35.88016071 33.92306631]"
138," Latvia (LVA / 138)
center: [24.91235983 56.85085163]"
139," Laos (LAO / 139)
center: [103.73772412  18.50217433]"
140," Kyrgyzstan (KGZ / 140)
center: [74.54165513 41.46221943]"
141," Kuwait (KWT / 141)
center: [47.56180011 29.31666229]"
142," Kosovo (-99 / 142)
center: [20.87249811 42.57078707]"
143," Kiribati (KIR / 143)
center: [-157.37418629    1.85444795]"
144," Kenya (KEN / 144)
center: [37.79521227  0.60048341]"
145," Kazakhstan (KAZ / 145)
center: [67.29307467 48.15717345]"
146," Jordan (JOR / 146)
center: [36.77136104 31.24579091]"
147," Japan (JPN / 147)
center: [137.98543797  36.65005253]"
148," Jamaica (JAM / 148)
center: [-77.31482593  18.15694878]"
149," Italy (ITA / 149)
center: [12.14876278 43.52936379]"
150," Israel (ISR / 150)
center: [34.99533998 31.44260691]"
151," Gaza Strip (-99 / 151)
center: [34.34757503 31.39150041]"
152," West Bank (-99 / 152)
center: [35.24782508 31.94799759]"
153," Ireland (IRL / 153)
center: [-8.13451684 53.17404076]"
154," Iraq (IRQ / 154)
center: [43.74353149 33.03970582]"
155," Iran (IRN / 155)
center: [54.27280622 32.57971265]"
156," Indonesia (IDN / 156)
center: [114.01420942  -0.19085395]"
157," India (IND / 157)
center: [79.585565  22.9090946]"
158," Iceland (ISL / 158)
center: [-18.57396167  64.99575386]"
159," Hungary (HUN / 159)
center: [19.39559116 47.16277506]"
160," Honduras (HND / 160)
center: [-86.61582456  14.82371533]"
161," Haiti (HTI / 161)
center: [-72.67555568  18.92830082]"
162," Guyana (GUY / 162)
center: [-58.98202459   4.79378034]"
163," Guinea-Bissau (GNB / 163)
center: [-14.92365323  12.0639568 ]"
164," Guinea (GIN / 164)
center: [-10.94066612  10.43621593]"
165," Guatemala (GTM / 165)
center: [-90.36482009  15.69403663]"
166," Grenada (GRD / 166)
center: [-61.68220189  12.11725044]"
167," Greece (GRC / 167)
center: [22.58465259 39.479079  ]"
168," Ghana (GHA / 168)
center: [-1.21676566  7.95345644]"
169," Germany (DEU / 169)
center: [10.37213776 51.08764058]"
170," Georgia (-99 / 170)
center: [43.50780252 42.16855755]"
171," The Gambia (GMB / 171)
center: [-15.39601295  13.44965244]"
172," Gabon (GAB / 172)
center: [11.7886287  -0.58660025]"
173," France (FRA / 173)
center: [ 2.45276214 46.6201147 ]"
174," Mayotte (MYT / 174)
center: [ 45.13452704 -12.82457027]"
175," Réunion (REU / 175)
center: [ 55.54127542 -21.11794666]"
176," Martinique (MTQ / 176)
center: [-61.02100536  14.65803013]"
177," Guadeloupe (GLP / 177)
center: [-61.6746313   16.16557217]"
178," French Guiana (GUF / 178)
center: [-53.24844369   3.92595292]"
179," Saint Pierre and Miquelon (SPM / 179)
center: [-56.32695226  46.94614016]"
180," Wallis and Futuna (WLF / 180)
center: [-178.12955393  -14.28573552]"
181," Saint Martin (MAF / 181)
center: [-63.05972851  18.08888611]"
182," Saint Barthélemy (BLM / 182)
center: [-62.84067779  17.89880451]"
183," French Polynesia (PYF / 183)
center: [-149.42024636  -17.66331046]"
184," New Caledonia (NCL / 184)
center: [165.4866976  -21.32517143]"
185," French Southern and Antarctic Lands (ATF / 185)
center: [ 69.49547044 -49.3042295 ]"
186," Åland (ALA / 186)
center: [19.94400982 60.23133494]"
187," Finland (FIN / 187)
center: [26.28354804 64.50497064]"
188," Fiji (FJI / 188)
center: [177.97282711 -17.82292078]"
189," Ethiopia (ETH / 189)
center: [39.60080098  8.62278679]"
190," Estonia (EST / 190)
center: [25.832165   58.68592077]"
191," Eritrea (ERI / 191)
center: [38.83795856 15.35950669]"
192," Equatorial Guinea (GNQ / 192)
center: [10.47048259  1.56520049]"
193," El Salvador (SLV / 193)
center: [-88.87164469  13.73943744]"
194," Egypt (EGY / 194)
center: [29.86190099 26.49593311]"
195," Ecuador (ECU / 195)
center: [-78.38975666  -1.44537129]"
196," Dominican Republic (DOM / 196)
center: [-70.50568896  18.89433082]"
197," Dominica (DMA / 197)
center: [-61.357726   15.4394702]"
198," Djibouti (DJI / 198)
center: [42.5606754  11.74871806]"
199," Greenland (GRL / 199)
center: [-41.35581221  74.71759825]"
200," Faroe Islands (FRO / 200)
center: [-6.8847479  62.17017602]"
201," Denmark (DNK / 201)
center: [ 9.35599632 56.24045732]"
202," Czech Republic (CZE / 202)
center: [15.31240163 49.73341233]"
203," Turkish Republic of Northern Cyprus (-99 / 203)
center: [33.5684813  35.26277486]"
204," Cyprus (CYP / 204)
center: [33.0060022  34.91667211]"
205," Cuba (CUB / 205)
center: [-78.94339746  21.61424023]"
206," Croatia (HRV / 206)
center: [16.42389696 45.15944805]"
207," Ivory Coast (CIV / 207)
center: [-5.56970883  7.6289407 ]"
208," Costa Rica (CRI / 208)
center: [-84.19208768   9.97634464]"
209," Democratic Republic of the Congo (COD / 209)
center: [23.64396107 -2.87746289]"
210," Republic of the Congo (COG / 210)
center: [15.21965762 -0.83787463]"
211," Comoros (COM / 211)
center: [ 43.33914435 -11.65437816]"
