,0
82,"Region: Paraguay (PRY / 82)
center: [-58.40013703 -23.22823913]"
83,"Region: Papua New Guinea (PNG / 83)
center: [144.24411251  -6.60560776]"
84,"Region: Panama (PAN / 84)
center: [-80.11157027   8.5243484 ]"
85,"Region: Palau (PLW / 85)
center: [134.58047966   7.51295578]"
86,"Region: Pakistan (PAK / 86)
center: [69.33957937 29.9497515 ]"
87,"Region: Oman (OMN / 87)
center: [56.08535577 20.57538168]"
88,"Region: Norway (-99 / 88)
center: [13.9084218 64.2378254]"
89,"Region: North Korea (PRK / 89)
center: [127.19333112  40.15372171]"
90,"Region: Nigeria (NGA / 90)
center: [8.08960293 9.59510497]"
91,"Region: Niger (NER / 91)
center: [ 9.38545882 17.41912493]"
92,"Region: Nicaragua (NIC / 92)
center: [-85.0305297   12.84709429]"
93,"Region: New Zealand (NZL / 93)
center: [170.52834778 -43.97341234]"
94,"Region: Niue (NIU / 94)
center: [-169.86994682  -19.04945708]"
95,"Region: Cook Islands (COK / 95)
center: [-159.78724219  -21.21927288]"
96,"Region: Netherlands (NLD / 96)
center: [ 5.64213378 52.28215279]"
97,"Region: Aruba (ABW / 97)
center: [-69.98267711  12.52088038]"
98,"Region: Curaçao (CUW / 98)
center: [-68.97119369  12.19551675]"
99,"Region: Nepal (NPL / 99)
center: [83.9158264  28.24891365]"
100,"Region: Nauru (NRU / 100)
center: [166.93256823  -0.51912639]"
101,"Region: Namibia (NAM / 101)
center: [ 17.20963567 -22.13032568]"
102,"Region: Mozambique (MOZ / 102)
center: [ 35.53367543 -17.27381643]"
103,"Region: Morocco (MAR / 103)
center: [-8.45615795 29.83762955]"
104,"Region: Western Sahara (ESH / 104)
center: [-12.21982755  24.22956739]"
105,"Region: Montenegro (MNE / 105)
center: [19.23883939 42.78890259]"
106,"Region: Mongolia (MNG / 106)
center: [103.05299765  46.82681544]"
107,"Region: Moldova (MDA / 107)
center: [28.45673372 47.19498804]"
108,"Region: Monaco (MCO / 108)
center: [ 7.40627677 43.75274627]"
109,"Region: Mexico (MEX / 109)
center: [-102.50514419   23.94102022]"
110,"Region: Mauritius (MUS / 110)
center: [ 57.57120551 -20.27768704]"
111,"Region: Mauritania (MRT / 111)
center: [-10.34665958  20.25746461]"
112,"Region: Malta (MLT / 112)
center: [14.44326901 35.89002912]"
113,"Region: Mali (MLI / 113)
center: [-3.54269065 17.34581581]"
114,"Region: Maldives (MDV / 114)
center: [73.50333479  4.19653216]"
115,"Region: Malaysia (MYS / 115)
center: [114.72377226   3.61525237]"
116,"Region: Malawi (MWI / 116)
center: [ 34.28879833 -13.21986925]"
117,"Region: Madagascar (MDG / 117)
center: [ 46.70305379 -19.37532674]"
118,"Region: North Macedonia (MKD / 118)
center: [21.68211346 41.59530893]"
119,"Region: Luxembourg (LUX / 119)
center: [ 6.07182201 49.76725361]"
120,"Region: Lithuania (LTU / 120)
center: [23.89188896 55.32596034]"
121,"Region: Liechtenstein (LIE / 121)
center: [ 9.53574312 47.13665835]"
122,"Region: Libya (LBY / 122)
center: [18.00866169 27.03094495]"
123,"Region: Liberia (LBR / 123)
center: [-9.32207573  6.45278492]"
124,"Region: Lesotho (LSO / 124)
center: [ 28.22723131 -29.58003188]"
125,"Region: Lebanon (LBN / 125)
center: [35.88016071 33.92306631]"
126,"Region: Latvia (LVA / 126)
center: [24.91235983 56.85085163]"
127,"Region: Laos (LAO / 127)
center: [103.73772412  18.50217433]"
128,"Region: Kyrgyzstan (KGZ / 128)
center: [74.54165513 41.46221943]"
129,"Region: Kuwait (KWT / 129)
center: [47.56180011 29.31666229]"
130,"Region: Kosovo (-99 / 130)
center: [20.87249811 42.57078707]"
131,"Region: Kiribati (KIR / 131)
center: [-157.37418629    1.85444795]"
132,"Region: Kenya (KEN / 132)
center: [37.79521227  0.60048341]"
133,"Region: Kazakhstan (KAZ / 133)
center: [67.29307467 48.15717345]"
134,"Region: Jordan (JOR / 134)
center: [36.77136104 31.24579091]"
135,"Region: Japan (JPN / 135)
center: [137.98543797  36.65005253]"
136,"Region: Jamaica (JAM / 136)
center: [-77.31482593  18.15694878]"
137,"Region: Italy (ITA / 137)
center: [12.14876278 43.52936379]"
138,"Region: Israel (ISR / 138)
center: [34.99533998 31.44260691]"
139,"Region: Palestine (PSE / 139)
center: [35.24782508 31.94799759]"
140,"Region: Ireland (IRL / 140)
center: [-8.13451684 53.17404076]"
141,"Region: Iraq (IRQ / 141)
center: [43.74353149 33.03970582]"
142,"Region: Iran (IRN / 142)
center: [54.27280622 32.57971265]"
143,"Region: Indonesia (IDN / 143)
center: [114.01420942  -0.19085395]"
144,"Region: India (IND / 144)
center: [79.585565  22.9090946]"
145,"Region: Iceland (ISL / 145)
center: [-18.57396167  64.99575386]"
146,"Region: Hungary (HUN / 146)
center: [19.39559116 47.16277506]"
147,"Region: Honduras (HND / 147)
center: [-86.61582456  14.82371533]"
148,"Region: Haiti (HTI / 148)
center: [-72.67555568  18.92830082]"
149,"Region: Guyana (GUY / 149)
center: [-58.98202459   4.79378034]"
150,"Region: Guinea-Bissau (GNB / 150)
center: [-14.92365323  12.0639568 ]"
151,"Region: Guinea (GIN / 151)
center: [-10.94066612  10.43621593]"
152,"Region: Guatemala (GTM / 152)
center: [-90.36482009  15.69403663]"
153,"Region: Grenada (GRD / 153)
center: [-61.68220189  12.11725044]"
154,"Region: Greece (GRC / 154)
center: [22.58465259 39.479079  ]"
155,"Region: Ghana (GHA / 155)
center: [-1.21676566  7.95345644]"
156,"Region: Germany (DEU / 156)
center: [10.37213776 51.08764058]"
157,"Region: Georgia (GEO / 157)
center: [43.50780252 42.16855755]"
158,"Region: The Gambia (GMB / 158)
center: [-15.39601295  13.44965244]"
159,"Region: Gabon (GAB / 159)
center: [11.7886287  -0.58660025]"
160,"Region: France (-99 / 160)
center: [ 2.45276214 46.6201147 ]"
161,"Region: Saint Pierre and Miquelon (SPM / 161)
center: [-56.32695226  46.94614016]"
162,"Region: Wallis and Futuna (WLF / 162)
center: [-178.12955393  -14.28573552]"
163,"Region: Saint Martin (MAF / 163)
center: [-63.05972851  18.08888611]"
164,"Region: Saint Barthélemy (BLM / 164)
center: [-62.84067779  17.89880451]"
165,"Region: French Polynesia (PYF / 165)
center: [-149.42024636  -17.66331046]"
166,"Region: New Caledonia (NCL / 166)
center: [165.4866976  -21.32517143]"
167,"Region: French Southern and Antarctic Lands (ATF / 167)
center: [ 69.49547044 -49.3042295 ]"
168,"Region: Åland (ALA / 168)
center: [19.94400982 60.23133494]"
169,"Region: Finland (FIN / 169)
center: [26.28354804 64.50497064]"
170,"Region: Fiji (FJI / 170)
center: [177.97282711 -17.82292078]"
171,"Region: Ethiopia (ETH / 171)
center: [39.60080098  8.62278679]"
172,"Region: Estonia (EST / 172)
center: [25.832165   58.68592077]"
173,"Region: Eritrea (ERI / 173)
center: [38.83795856 15.35950669]"
174,"Region: Equatorial Guinea (GNQ / 174)
center: [10.47048259  1.56520049]"
175,"Region: El Salvador (SLV / 175)
center: [-88.87164469  13.73943744]"
176,"Region: Egypt (EGY / 176)
center: [29.86190099 26.49593311]"
177,"Region: Ecuador (ECU / 177)
center: [-78.38975666  -1.44537129]"
178,"Region: Dominican Republic (DOM / 178)
center: [-70.50568896  18.89433082]"
179,"Region: Dominica (DMA / 179)
center: [-61.357726   15.4394702]"
180,"Region: Djibouti (DJI / 180)
center: [42.5606754  11.74871806]"
181,"Region: Greenland (GRL / 181)
center: [-41.35581221  74.71759825]"
182,"Region: Faroe Islands (FRO / 182)
center: [-6.8847479  62.17017602]"
183,"Region: Denmark (DNK / 183)
center: [ 9.35599632 56.24045732]"
184,"Region: Czech Republic (CZE / 184)
center: [15.31240163 49.73341233]"
185,"Region: Turkish Republic of Northern Cyprus (-99 / 185)
center: [33.5684813  35.26277486]"
186,"Region: Cyprus (CYP / 186)
center: [33.0060022  34.91667211]"
187,"Region: Cuba (CUB / 187)
center: [-78.94339746  21.61424023]"
188,"Region: Croatia (HRV / 188)
center: [16.42389696 45.15944805]"
189,"Region: Ivory Coast (CIV / 189)
center: [-5.56970883  7.6289407 ]"
190,"Region: Costa Rica (CRI / 190)
center: [-84.19208768   9.97634464]"
191,"Region: Democratic Republic of the Congo (COD / 191)
center: [23.64396107 -2.87746289]"
192,"Region: Republic of the Congo (COG / 192)
center: [15.21965762 -0.83787463]"
193,"Region: Comoros (COM / 193)
center: [ 43.33914435 -11.65437816]"
194,"Region: Colombia (COL / 194)
center: [-73.08070655   3.91394921]"
195,"Region: People's Republic of China (CHN / 195)
center: [103.79740634  36.61687112]"
196,"Region: Macau (MAC / 196)
center: [113.50932116  22.22311688]"
197,"Region: Hong Kong (HKG / 197)
center: [114.13918765  22.43917627]"
198,"Region: Chile (CHL / 198)
center: [-71.31112819 -35.74807517]"
199,"Region: Chad (TCD / 199)
center: [18.64492513 15.33333758]"
200,"Region: Central African Republic (CAF / 200)
center: [20.46826831  6.56823297]"
201,"Region: Cape Verde (CPV / 201)
center: [-23.6371491   15.08240468]"
202,"Region: Canada (CAN / 202)
center: [-102.36576644   57.93467961]"
203,"Region: Cameroon (CMR / 203)
center: [12.73964156  5.69109849]"
204,"Region: Cambodia (KHM / 204)
center: [104.90793942  12.7209729 ]"
205,"Region: Myanmar (MMR / 205)
center: [96.48864617 21.221488  ]"
206,"Region: Burundi (BDI / 206)
center: [29.87512156 -3.35939666]"
207,"Region: Burkina Faso (BFA / 207)
center: [-1.75456601 12.26953846]"
208,"Region: Bulgaria (BGR / 208)
center: [25.21552909 42.76890318]"
