,0
91," Saint Kitts and Nevis (KNA / 91)
center: [-62.74759991  17.32688326]"
92," Rwanda (RWA / 92)
center: [29.91988515 -1.99033832]"
93," Russia (-99 / 93)
center: [113.33246297  62.50732521]"
94," Russia (-99 / 94)
center: [44.98685198 58.45627024]"
95," Kaliningrad Oblast (-99 / 95)
center: [21.38511477 54.72183308]"
96," Romania (ROU / 96)
center: [24.97293039 45.85243127]"
97," Qatar (QAT / 97)
center: [51.18479632 25.30601188]"
98," Madeira (-99 / 98)
center: [-16.98573069  32.75252847]"
99," Portugal (-99 / 99)
center: [-7.97761346 39.67740257]"
100," Azores (-99 / 100)
center: [-25.50964666  37.79900884]"
101," Poland (POL / 101)
center: [19.39012835 52.12759564]"
102," Philippines (PHL / 102)
center: [121.41553102  15.95690264]"
103," Peru (PER / 103)
center: [-74.38242685  -9.15280381]"
104," Paraguay (PRY / 104)
center: [-58.40013703 -23.22823913]"
105," Papua New Guinea (-99 / 105)
center: [144.24411251  -6.60560776]"
106," Autonomous Region of Bougainville (-99 / 106)
center: [155.31450944  -6.22587631]"
107," Panama (PAN / 107)
center: [-80.11157027   8.5243484 ]"
108," Palau (PLW / 108)
center: [134.58047966   7.51295578]"
109," Pakistan (PAK / 109)
center: [69.33957937 29.9497515 ]"
110," Oman (OMN / 110)
center: [56.08535577 20.57538168]"
111," Norway (-99 / 111)
center: [13.9084218 64.2378254]"
112," Jan Mayen (-99 / 112)
center: [-8.42680551 71.02008472]"
113," Svalbard (SJM / 113)
center: [15.88458683 78.60164551]"
114," North Korea (PRK / 114)
center: [127.19333112  40.15372171]"
115," Nigeria (NGA / 115)
center: [8.08960293 9.59510497]"
116," Niger (NER / 116)
center: [ 9.38545882 17.41912493]"
117," Nicaragua (NIC / 117)
center: [-85.0305297   12.84709429]"
118," South Island (-99 / 118)
center: [170.52834778 -43.97341234]"
119," North Island (-99 / 119)
center: [175.73701383 -38.59197119]"
120," New Zealand Subantarctic Islands (-99 / 120)
center: [166.1157396  -50.70716583]"
121," Chatham Islands (-99 / 121)
center: [-176.51204002  -43.89132226]"
122," Niue (NIU / 122)
center: [-169.86994682  -19.04945708]"
123," Tokelau (TKL / 123)
center: [-172.48760153   -8.56500085]"
124," Cook Islands (COK / 124)
center: [-159.78724219  -21.21927288]"
125," Netherlands (NLD / 125)
center: [ 5.64213378 52.28215279]"
126," Aruba (ABW / 126)
center: [-69.98267711  12.52088038]"
127," Caribbean Netherlands (BES / 127)
center: [-68.27402059  12.18429165]"
128," Curaçao (CUW / 128)
center: [-68.97119369  12.19551675]"
129," Nepal (NPL / 129)
center: [83.9158264  28.24891365]"
130," Nauru (NRU / 130)
center: [166.93256823  -0.51912639]"
131," Namibia (NAM / 131)
center: [ 17.20963567 -22.13032568]"
132," Mozambique (MOZ / 132)
center: [ 35.53367543 -17.27381643]"
133," Morocco (MAR / 133)
center: [-8.45615795 29.83762955]"
134," Western Sahara (ESH / 134)
center: [-12.21982755  24.22956739]"
135," Montenegro (MNE / 135)
center: [19.23883939 42.78890259]"
136," Mongolia (MNG / 136)
center: [103.05299765  46.82681544]"
137," Moldova (MDA / 137)
center: [28.45673372 47.19498804]"
138," Monaco (MCO / 138)
center: [ 7.40627677 43.75274627]"
139," Mexico (MEX / 139)
center: [-102.50514419   23.94102022]"
140," Mauritius (MUS / 140)
center: [ 57.57120551 -20.27768704]"
141," Mauritania (MRT / 141)
center: [-10.34665958  20.25746461]"
142," Malta (MLT / 142)
center: [14.44326901 35.89002912]"
143," Mali (MLI / 143)
center: [-3.54269065 17.34581581]"
144," Maldives (MDV / 144)
center: [73.50333479  4.19653216]"
145," Malaysia (MYS / 145)
center: [114.72377226   3.61525237]"
146," Malawi (MWI / 146)
center: [ 34.28879833 -13.21986925]"
147," Madagascar (MDG / 147)
center: [ 46.70305379 -19.37532674]"
148," North Macedonia (MKD / 148)
center: [21.68211346 41.59530893]"
149," Luxembourg (LUX / 149)
center: [ 6.07182201 49.76725361]"
150," Lithuania (LTU / 150)
center: [23.89188896 55.32596034]"
151," Liechtenstein (LIE / 151)
center: [ 9.53574312 47.13665835]"
152," Libya (LBY / 152)
center: [18.00866169 27.03094495]"
153," Liberia (LBR / 153)
center: [-9.32207573  6.45278492]"
154," Lesotho (LSO / 154)
center: [ 28.22723131 -29.58003188]"
155," Lebanon (LBN / 155)
center: [35.88016071 33.92306631]"
156," Latvia (LVA / 156)
center: [24.91235983 56.85085163]"
157," Laos (LAO / 157)
center: [103.73772412  18.50217433]"
158," Kyrgyzstan (KGZ / 158)
center: [74.54165513 41.46221943]"
159," Kuwait (KWT / 159)
center: [47.56180011 29.31666229]"
160," Kosovo (-99 / 160)
center: [20.87249811 42.57078707]"
161," Kiribati (KIR / 161)
center: [-157.37418629    1.85444795]"
162," Kenya (KEN / 162)
center: [37.79521227  0.60048341]"
163," Kazakhstan (KAZ / 163)
center: [67.29307467 48.15717345]"
164," Jordan (JOR / 164)
center: [36.77136104 31.24579091]"
165," Japan (JPN / 165)
center: [138.39680523  38.03966635]"
166," Ogasawara Islands (-99 / 166)
center: [142.15911366  26.67234822]"
